shrub	kasi lili
sapling	kasi suli lili
berry	kili lili
mountain	nena suli
grass	linja jelo laso
flower garden	ma pi kasi kule
vegetable garden	ma kili
botanical garden	ma kasi
agriculture	pali kili
farmer	jan ma
vegetarian	soweli pi moku kasi
herbivore	soweli pi moku kasi
omnivore	soweli pi moku ali
carnivore	soweli pi moku soweli
circle of life	sike ali
extinct	moli ali
endangered	kama moli ali
run	tawa mute
predator	soweli ike
prey	soweli moku
meow	kalama soweli
escape	pana e jan tan ike
neck	anpa lawa
teeth	ijo uta walo
skin	weka e selo
muscle	ilo sijelo wawa
fat	ijo sijelo pi wawa ala
nose	nena kon
stalk	tawa ijo kepeken kalama pi lili mute
biology	sona ali
taxidermy	sona ali
zoo	tomo soweli
poo	ko jaki
droppings	ko jaki
elephant	soweli suli
mouse	soweli lili
pig	soweli jaki
snake	akesi linja
home	tomo mi
bedroom	tomo lape
dining room	tomo moku
kitchen	tomo moku
basement	tomo anpa
cellar	tomo anpa
attic	tomo sewi
floor	supa anpa tomo
ceiling	supa sewi tomo
bed	supa lape
sheets	lipu lape
pillow	ijo lape
mattress	supa lape
dresser	supa len
closet	supa len
bookshelf	poki pi lipu mute
book	lipu mute
cleaning fluid	telo pi jaki ala
desk	supa pali
office room	ma pali
pen	ilo sitelen
pencil	ilo sitelen
telephone	ilo toki pi weka tan
caller id	nimi jan
keypad	nena nanpa
computer	ilo nanpa
laptop computer	ilo nanpa luka
tv	ilo pi sitelen tawa
fridge	poki moku lete
freezer	poki moku lete
light	ilo suno
microwave	poki seli moku lili
oven	poki seli moku
pantry	tomo poki moku
ac	ilo kon pi seli ala
stapler	ilo wan
scissors	ilo pakala
doll	musi jan
wardrobe	supa len
mirror	supa pi lukin sama
washing machine	ilo pi jaki ala len
dryer	ilo pi lete ala len
here	lon ni
there	lon ni
who	jan seme
some	mute lili
few	mute ala
three	tu wan
four	tu tu
five	luka
child	jan lili
mother	mama ( meli )
father	mama ( mije )
worm	pipi linja
tree	kasi suli
forest	ma pi kasi suli
seed	kiwen lili kasi
leaf	lipu kasi
root	anpa kasi
bark	selo ( pi kasi suli )
flower	kasi kule
grass	kasi anpa
blood	telo sijelo loje
bone	kiwen pi insa sijelo
fat	selo suli
egg	kiwen waso
horn	kiwen pi lawa soweli
tail	palisa soweli
feather	lipu kasi pi waso
tooth	kiwen uta
tongue	ilo loje uta
fingernail	ijo luka kiwen
knee	luka waso
wing	ijo sijelo insa
neck	nena meli
breast	ijo sijelo insa
heart	moku e telo
to drink	palaka tan uta
to bite	pana telo tan uta
to suck	pana moku tan insa
to spit	tan e kon
to vomit	moku e kon
to blow	toki suli pona
to know	pilin nena
to think	iki tawa
to cut	utala kepeken kiwen
to stab	anpa e ma
to scratch	tawa telo
to dig	tawa siwe
to walk	lon lape
to sit	tawa sike
to stand	tawa anpa
to turn	pana
to fall	kama jo
to give	pilin tawa insa
to hold	pilin unpa
to wash	pana tan luka weka
to wipe	pilin weka ala
to count	toki wawa
to play	tawa telo
star	telo tan sewi
lake	namako kiwen
salt	ko ma
dust	ijo walo lon siwe
soil	ijo walo lon siwe anpa
sky	telo lete wan
wind	telo lete
snow	kon seli
smoke	ko seli
mountain	laso jelo
white	tenpo pimeja
black	tenpo suno
night	sike suno
warm	insa multe
full	pona ala
bad	sewi ala
smooth	telo ala
dry	weka ala
beverage	moku telo
to drink	moku e telo
breakfast	moku wan
lunch	moku tu
dinner	moku tu wan
menu	lipu mute moku
to cook	pali moku
chef	jan pi pali moku
cook	jan pi pali moku
juice	telo suwi
milk	telo walo soweli
soda	telo kon
tasty	pona moku
horrible	moku li ike mute
plate	supa moku
bowl	poki moku
cup	poki telo
spoon	ilo moku
fork	ilo moku
knife	ilo moku
steak knife	ilo moku
chopsticks	ilo moku
restaurant	tomo moku
table	supa moku
napkin	lipu moku
tablecloth	lipu pi supa moku
teeth	ilo uta walo
tongue	palisa uta
to taste like	moku sama
full	suli insa
chug	moku suli
feed	pana e moku
tea	telo kasi seli
coffee	telo pimeja
waiter	jan pi kama moku mije
waitress	jan pi kama moku meli
bartender	jan pi telo nasa pi tomo
burger	soweli insa pan
sandwich	moku insa pan
salad	moku kasi
pizza	pan sike
pasta	pan palisa
spices	namako
spicy	namako
bitter	moku ike
sour	moku ike
ice cream	suwi lete
school	tomo sona
university	tomo sona suli
elementary school	tomo sona lili lili
middle school	tomo sona
high school	tomo sona
schoolhouse	tomo sona
office	tomo pali
company	kulupu mani
pen	ilo pi sitelen toki
pencil	ilo pi sitelen toki
desk	supa pi jan pi kama sona
desk	supa pi jan pi pana sona
student	jan pi kama sona
teacher	jan pi pana sona
biology	sona ali
anatomy	sona sijelo
ecology	sona ali
astronomy	sona pi suno en mun
geology	sona ma
history	sona pi tenpo pini
geography	sona ma
math	sona nanpa
psychology	sona pilin
literature	sona lipu
art	sona musi
team	ona mute wan
homework	pali lon tomo
dictionary	lipu nimi
calculator	ilo nanpa
folder	poki lipu
waste bin	poki jaki
essay	toki awen sona
presentation	toki sitelen
report	toki awen sona
ask	wile sona
boring	musi ala
to learn	kama sona
to study	kama sona
to teach	pana sona
to collaborate	pali kepeken kulupu
boss	jan lawa
manager	jan lawa
cubicle	tomo pali lili
office building	tomo pali
to work from home	pali tan tomo
musician	jan pi kalama musi
psychologist	jan sona pilin
builder	jan pali
carpenter	jan supa
cowboy	jan soweli
photographer	jan pi ilo sitelen
architect	jan tomo
veterinarian	jan soweli
soldier	jan utala
army	jan utala mute
landscape artist	jan pi ma sitelen
technician	jan ilo
plumber	jan pi pali telo
linguist	jan sona toki
city planner	jan sona pi ma tomo
cartographer	jan pi sitelen ma
fisherman	jan kala
racecar driver	jan pi tomo tawa
businessman	jan esun
computer	ilo sona
laptop	ilo sona lili
monitor	ilo lukin pi ilo sona
keyboard	ilo toki pi ilo sona
to type	sitelen kepeken ilo toki
television	ilo pi sitelen tawa
printer	ilo sitelen
website	lipu sitelen
birthday	sina sike e suno
birthday	tenpo suno la mi
spam	toki ike mute mute
retweet	toki sama
to copy	jo sama
wifi	toki tawa ko
music	kalama musi
musician	jan pi kalama musi
instrument	ijo pi kalama musi
